review_severity,review_category,unit_id,faction,unit_name,selection_type,models_min,models_max,footprint_status,base_type,base_shape,base_width_mm,base_depth_mm,guide_faction,guide_unit_name,guide_model_name,source,source_url,source_updated,match_method,match_confidence,review_reason
warning,unmatched_unit,69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
info,non_numeric_base,1d83-167-486c-bac4,Aeldari - Aeldari Library,Falcon,model,1,1,matched,large_flying_base,flying,,,AELDARI,Falcon,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
info,non_numeric_base,833b-55bc-73be-8862,Aeldari - Aeldari Library,Farseer Skyrunner,model,1,1,matched,small_flying_base,flying,,,AELDARI,Farseer Skyrunner,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
info,non_numeric_base,9940-a69b-682e-ccf4,Aeldari - Aeldari Library,Fire Prism,model,1,1,matched,large_flying_base,flying,,,AELDARI,Fire Prism,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
info,mixed_or_multi_base_unit,e78a-4442-4ed2-66bf,Aeldari - Aeldari Library,Guardian Defenders,unit,11,11,review,round,round,40,40,AELDARI,Guardian Defenders,Heavy Weapon Platform,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,0.70,Multiple official base rows matched; largest numeric base was selected for blob sizing.
warning,unmatched_unit,2713-f82d-5189-d5de,Aeldari - Aeldari Library,Illic Nightspear [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
warning,unmatched_unit,c9ed-d190-419c-78d3,Aeldari - Aeldari Library,Karandras [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
info,non_numeric_base,908a-fc2b-5a53-599f,Aeldari - Aeldari Library,Night Spinner,model,1,1,matched,large_flying_base,flying,,,AELDARI,Night Spinner,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
warning,unmatched_unit,1fbf-55d9-5ca8-4e9e,Aeldari - Aeldari Library,Prince Yriel [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
info,non_numeric_base,433-faed-ea62-c531,Aeldari - Aeldari Library,Shining Spears,unit,3,6,matched,large_flying_base,flying,,,AELDARI,Shining Spears,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
